HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Parkinglot_Group
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,237168,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38053,
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,303539,"(1200, 1400]"
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,35398,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,309734,"(800, 1000]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,51327,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,271681,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,170796,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,292035,"(1200, 1400]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,111504,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,185840,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,113274,"(400, 600]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,86283,"(0, 200]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,55752,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,274336,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,309734,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,158407,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,255442,"(800, 1000]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,208407,"(0, 200]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,223008,"(0, 200]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,230088,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,233628,"(400, 600]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119469,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345,"(800, 1000]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,230088,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,115044,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,182743,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,458407,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,119469,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,244911,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,250442,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,212389,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,175221,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,216814,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,451327,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,389380,"(1200, 1400]"
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,547,57522,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,194690,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,349557,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,340707,"(200, 400]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,278761,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,203539,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143238,"(800, 1000]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,203646,"(200, 400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,225663,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,219469,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,119469,
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,203646,"(200, 400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,221238,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,238938,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,212389,"(200, 400]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,176991,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74672,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,300884,"(800, 1000]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,140707,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,201769,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,228318,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,110619,
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38053,
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,39823,
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,353097,"(1000, 1200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,265486,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,243362,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,345132,"(1200, 1400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,283185,"(1000, 1200]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,250442,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,209734,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,172566,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,207964,"(200, 400]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,398230,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,189380,"(400, 600]"
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,59292,"(200, 400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,367256,"(1000, 1200]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,262831,"(1000, 1200]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,388495,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,185840,"(1200, 1400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132300,"(400, 600]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,157079,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,428318,"(1200, 1400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,119469,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,460176,"(1200, 1400]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,325663,"(1000, 1200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,460176,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,218584,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,102212,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,346902,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,433628,"(1200, 1400]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,110176,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,253097,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,168141,"(400, 600]"
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107079,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,285840,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,381415,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,266371,"(600, 800]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,85398,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,349557,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,362831,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,527433,"(1200, 1400]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,119469,"(400, 600]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,336283,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,343362,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,318584,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,353982,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,269911,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,209734,"(600, 800]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,143212,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,458407,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,464601,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,246230,"(800, 1000]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,156637,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,173451,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,228318,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,243362,"(400, 600]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,265486,"(1000, 1200]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,173451,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,96902,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,150778,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,250176,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,215929,"(1200, 1400]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,189823,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831,"(600, 800]"
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,64601,"(0, 200]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,140707,
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,393805,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,250176,"(800, 1000]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,137168,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,268141,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,184070,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,408849,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75504,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,118141,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,393805,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,39823,
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,358407,"(200, 400]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,385398,"(400, 600]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,94690,"(400, 600]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,271681,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82300,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74672,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,260707,"(800, 1000]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,165929,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,234513,"(200, 400]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,151327,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,477876,"(1200, 1400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,248884,"(800, 1000]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,238053,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,212389,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,199115,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,247345,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,371681,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,79646,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,103539,"(600, 800]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,194690,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,252212,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,298230,"(0, 200]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,371681,"(1000, 1200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,190265,"(0, 200]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,128318,"(600, 800]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,169292,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,101548,"(800, 1000]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,130973,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,265486,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,286725,"(1200, 1400]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,92920,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,168141,"(400, 600]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,307964,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,400000,"(1200, 1400]"
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,208849,"(200, 400]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,66814,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,140380,"(800, 1000]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,338053,"(1000, 1200]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,65486,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,144690,
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,188053,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,119469,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,269911,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185,"(600, 800]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,129203,
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,86283,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,335398,"(1200, 1400]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,185840,"(600, 800]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,314159,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,89380,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,221238,
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,265486,"(200, 400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,226548,"(0, 200]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,292035,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,159292,
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,265486,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,323008,"(1200, 1400]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228318,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,260707,"(800, 1000]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,361061,"(800, 1000]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,307964,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,210176,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,"(800, 1000]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,77876,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,469026,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,201769,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,185840,"(400, 600]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,143362,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,90265,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,300884,"(400, 600]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,362831,"(1000, 1200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,318584,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,345132,"(800, 1000]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,221238,"(0, 200]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,146256,"(800, 1000]"
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,291150,"(600, 800]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,258079,"(800, 1000]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,166814,"(600, 800]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,165486,"(400, 600]"
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,353982,"(1000, 1200]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,278761,"(1200, 1400]"
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,74778,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,176991,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,261061,"(400, 600]"
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,169469,"(600, 800]"
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,163716,"(0, 200]"
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,203539,
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,291238,"(400, 600]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,486725,"(1200, 1400]"
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,49734,
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,278318,"(400, 600]"
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,392743,"(400, 600]"
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105752,"(0, 200]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,212389,"(0, 200]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,247787,"(0, 200]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,282053,"(400, 600]"
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,389380,"(1200, 1400]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,170796,
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,460176,"(600, 800]"
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,218584,"(400, 600]"
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,274336,"(0, 200]"
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,424778,"(400, 600]"
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,254867,
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,451327,"(200, 400]"
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,376991,"(800, 1000]"
